Period,Shop,Category,Drink,Quantity,Net Revenue,Gross Sales,Discounts,Transactions,Avg Price
Current 3M,Portlaoise,Specials,Pistachio Crunch Latte,1.0,4.85,4.85,0.0,1,4.85
Current 3M,Portlaoise,Specials,Quesadilla,178.0,1990.84,2254.75,-120.4,168,11.18
Current 3M,Portlaoise,Specials,Strawberry Matcha,6.0,33.05,33.05,0.0,6,5.51
Current 3M,Portlaoise,Specials,Strawberry Oat Matcha,119.0,665.34,665.34,-6.65,112,5.59
Current 3M,Portlaoise,Specials,White Choc Matcha,103.0,572.02,572.02,-3.85,98,5.55
Current 3M,Waterfordd,Acai bowls & Smoothies,Classic acai,473.0,4095.0,4095.0,-96.86,408,8.66
Current 3M,Waterfordd,Coffee & more,Americano,46.0,156.62,156.62,-4.38,43,3.4
Current 3M,Waterfordd,Coffee & more,Bueno iced latte,131.0,701.6,701.6,-21.84,126,5.36
Current 3M,Waterfordd,Coffee & more,Cappuccino,39.0,161.1,161.1,0.0,36,4.13
Current 3M,Waterfordd,Coffee & more,Espresso,3.0,5.0,5.0,-2.5,3,1.67
Current 3M,Waterfordd,Coffee & more,Flat white,16.0,60.6,60.6,0.0,15,3.79
Current 3M,Waterfordd,Coffee & more,Hot Choc,4.0,12.15,12.15,-4.05,4,3.04
Current 3M,Waterfordd,Coffee & more,Iced Americano,5.0,17.05,21.0,0.0,5,3.41
Current 3M,Waterfordd,Coffee & more,Iced Latte,29.0,122.17,122.17,-18.48,29,4.21
Current 3M,Waterfordd,Coffee & more,Iced caramel latte,73.0,385.66,385.66,-17.29,71,5.28
Current 3M,Waterfordd,Coffee & more,Latte,37.0,152.4,152.4,-4.1,32,4.12
Current 3M,Waterfordd,Coffee & more,Pistachio latte,1.0,5.3,5.3,0.0,1,5.3
Current 3M,Waterfordd,Coffee & more,Tea,11.0,27.5,27.5,0.0,11,2.5
Current 3M,Waterfordd,Coffee & more,Toasted brown sugar,120.0,656.1,656.1,0.0,105,5.47
Current 3M,Waterfordd,Coffee & more,White chocolate mocha,49.0,273.54,273.54,-1.51,47,5.58
Current 3M,Waterfordd,Fruit tea,Apple Soda,20.0,87.21,107.3,-1.19,19,4.36
Current 3M,Waterfordd,Fruit tea,Apple lemonade tea,65.0,265.4,326.61,-5.23,63,4.08
Current 3M,Waterfordd,Fruit tea,Mango Passion Lemonade,316.0,1345.57,1655.26,-12.37,287,4.26
Current 3M,Waterfordd,Fruit tea,Strawberry Lemonade,326.0,1383.29,1701.68,-4.14,302,4.24
Current 3M,Waterfordd,Fruit tea,Strawberry Nojito,15.0,65.44,80.49,-2.68,14,4.36
Current 3M,Waterfordd,Fruit tea,Strawberry Passion lemonade,55.0,242.89,298.75,0.0,50,4.42
Current 3M,Waterfordd,Fruit tea,Watermelon Lemonade,162.0,706.17,868.66,-1.21,150,4.36
Current 3M,Waterfordd,Milk tea,Bueno Bliss Boba,148.0,808.9,808.9,0.0,136,5.47
Current 3M,Waterfordd,Milk tea,Matcha Latte,11.0,54.69,54.69,-5.95,11,4.97
Current 3M,Waterfordd,Milk tea,Original milk tea,77.0,425.56,425.56,-7.89,69,5.53
Current 3M,Waterfordd,Milk tea,Pistachio Crunch Matcha,6.0,31.07,31.07,-2.58,5,5.18
Current 3M,Waterfordd,Milk tea,Strawberry Sunset,104.0,570.79,570.79,0.0,99,5.49
Current 3M,Waterfordd,Milk tea,Strawberry milk tea,11.0,58.35,58.35,0.0,10,5.3
Current 3M,Waterfordd,Milk tea,Taro milk tea,57.0,318.18,318.18,-2.52,53,5.58
Current 3M,Waterfordd,Milk tea,Tiger Milk,28.0,159.68,159.68,0.0,28,5.7
